op getter count,op setter count,state x_pos,state y_pos,state x_vel,state y_vel,state angle,state angular_vel,state left_leg_contact,state right_leg_contact,action no_op,action fire_left,action fire_main,action fire_right
48100,19207,-4.736839294433594,-4.736839294433594,0.26315784454345703,0.26315784454345703,-0.16534709930419922,-0.26315784454345703,0.0,0.0,8.800247227189285,11.62057723253329,7.773480211172464,8.044499586422292
554250,204778,-4.736839294433594,-4.736839294433594,0.26315784454345703,-0.26315784454345703,-0.16534709930419922,-0.26315784454345703,0.0,0.0,5.2817344702209255,6.656124174079666,5.44004687476929,4.870566657019215
82546,29609,-4.736839294433594,-4.736839294433594,0.26315784454345703,-0.26315784454345703,-0.49604105949401855,-0.26315784454345703,0.0,0.0,7.239439598187967,11.619732106096555,7.143061248620273,7.202583950958334
338836,126401,-4.736839294433594,-4.736839294433594,0.26315784454345703,-0.7894735336303711,-0.49604105949401855,-0.26315784454345703,0.0,0.0,8.670351268086868,13.030193866762708,9.333993679226698,7.3350664296946775
51149,22450,-4.736839294433594,-4.736839294433594,0.26315784454345703,-1.3157892227172852,-0.49604105949401855,-0.26315784454345703,0.0,0.0,17.515033917204914,17.555919361356196,16.37418405262422,17.124003888078434
34007,14105,-4.736839294433594,-4.736839294433594,0.26315784454345703,-1.3157892227172852,-0.8267350196838379,-0.26315784454345703,0.0,0.0,26.124229175269882,26.987752780547584,25.758848494014522,25.615134418618418
1622,726,-4.736839294433594,-4.736839294433594,0.26315784454345703,-1.8421051502227783,-0.8267350196838379,-0.26315784454345703,0.0,0.0,17.140988400208627,17.66359481225968,27.437332359232357,19.848623149113248
1,0,-4.736839294433594,-4.736839294433594,0.26315784454345703,-2.3684210777282715,-0.8267350196838379,-0.26315784454345703,1.0,0.0,0.0,0.0,0.0,0.0
304,139,-4.736839294433594,-4.736839294433594,0.26315784454345703,-1.8421051502227783,-0.8267350196838379,-0.26315784454345703,1.0,0.0,18.14034054800831,11.174561645300722,15.39731754918139,30.440947534419745
815751,305532,-4.736839294433594,-4.736839294433594,0.26315784454345703,-0.7894735336303711,-0.16534709930419922,-0.26315784454345703,0.0,0.0,4.722562707063264,8.210452332568149,5.437970832211095,4.416344384202747
43222,18851,-4.736839294433594,-4.736839294433594,0.26315784454345703,-1.3157892227172852,-0.16534709930419922,-0.26315784454345703,0.0,0.0,7.438934776338052,9.159003564761381,9.965174730831343,9.429394021286527
1386,652,-4.736839294433594,-4.736839294433594,0.26315784454345703,-1.8421051502227783,-0.16534709930419922,-0.26315784454345703,0.0,0.0,14.304195029338844,11.849590660044592,15.014279417678576,13.288728741586887
112,52,-4.736839294433594,-4.736839294433594,0.26315784454345703,-1.8421051502227783,-0.16534709930419922,-0.26315784454345703,0.0,1.0,-18.908480225020888,-16.08974168576212,-19.647047564312253,-27.679708220659773
1,0,-4.736839294433594,-4.736839294433594,0.7894740104675293,-0.7894735336303711,-0.49604105949401855,-5.0,0.0,1.0,0.0,0.0,0.0,0.0
3127734,1103093,-4.736839294433594,-4.736839294433594,-0.26315784454345703,-0.26315784454345703,-0.16534709930419922,-0.26315784454345703,0.0,0.0,8.516444522619075,6.453881998578419,7.013676257206579,6.127696543551644
2421866,855037,-4.736839294433594,-4.736839294433594,-0.26315784454345703,-0.7894735336303711,-0.16534709930419922,-0.26315784454345703,0.0,0.0,7.884918174174103,7.642178860535823,10.22139940403797,7.557592115629475
34520,15416,-4.736839294433594,-4.736839294433594,-0.26315784454345703,-1.3157892227172852,-0.16534709930419922,-0.26315784454345703,0.0,0.0,10.447723692319435,10.483199090362783,12.568675855316771,10.425036620383443
168,77,-4.736839294433594,-4.736839294433594,-0.26315784454345703,-1.3157892227172852,-0.16534709930419922,-0.26315784454345703,0.0,1.0,-9.615457643061665,-13.28329383123543,-3.4787497588482585,-7.874393239588482
103,41,-4.736839294433594,-4.736839294433594,-0.26315784454345703,-1.3157892227172852,-0.16534709930419922,-0.7894735336303711,1.0,1.0,-36.777034895262254,-36.925098877985775,-36.97505902753907,-34.95486648340886
5823757,2073801,-4.736839294433594,-4.736839294433594,-0.26315784454345703,-0.26315784454345703,-0.16534709930419922,-0.26315784454345703,1.0,1.0,20.490284036118332,13.267197834531585,9.742838690610158,11.792012018216031
6045,2396,-4.736839294433594,-4.736839294433594,-1.3157892227172852,-0.26315784454345703,-0.16534709930419922,-0.26315784454345703,0.0,0.0,7.182323827186893,6.235800497015439,7.091405568325248,7.360578138043416
580774,213602,-4.736839294433594,-4.736839294433594,-0.7894735336303711,-0.26315784454345703,-0.16534709930419922,-0.26315784454345703,0.0,0.0,5.512491991950936,5.002893537319867,5.580136247108082,7.3874655706810435
168,77,-4.736839294433594,-4.736839294433594,-1.3157892227172852,-0.26315784454345703,-0.16534709930419922,0.26315784454345703,0.0,0.0,-0.005862532597773693,-0.17455381407186205,-0.3904375219318791,5.966753316859947
5087,1843,-4.736839294433594,-4.736839294433594,-0.7894735336303711,-0.26315784454345703,-0.16534709930419922,0.26315784454345703,0.0,0.0,0.48721182696890575,1.2032103588137977,1.1303775484889451,5.057602121579308
5080,1921,-4.736839294433594,-4.736839294433594,-0.7894735336303711,-0.26315784454345703,0.16534686088562012,0.26315784454345703,0.0,0.0,-7.665085078848684,-9.096121153217693,-11.699753354125829,2.319108396265314
495,238,-4.736839294433594,-4.736839294433594,-1.3157892227172852,-0.26315784454345703,0.16534686088562012,0.26315784454345703,0.0,0.0,-2.038118038140749,-2.8163407787865165,-3.3098124767849404,2.3072838892545935
1092,517,-4.736839294433594,-4.736839294433594,-1.3157892227172852,-0.7894735336303711,0.16534686088562012,0.26315784454345703,0.0,0.0,-0.002003941161368948,-0.7617739569098522,0.7719645077428403,4.814757297259271
1067,511,-4.736839294433594,-4.736839294433594,-1.3157892227172852,-0.7894735336303711,0.49604082107543945,0.26315784454345703,0.0,0.0,-9.537377065753827,-7.196729057702461,-7.715421366672431,-6.916961027261386
